Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2928;Leipzig-Holzhausen;V_N;15.06.2019-21:00;17.06.2019-07:00;35;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;22.06.2019-14:00;23.06.2019-19:00;30;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;24.06.2019-08:00;24.06.2019-20:00;13;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;24.06.2019-23:00;24.06.2019-23:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;25.06.2019-03:00;25.06.2019-03:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;25.06.2019-07:00;26.06.2019-03:00;21;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;26.06.2019-06:00;27.06.2019-12:00;31;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;01.07.2019-11:00;01.07.2019-11:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;08.07.2019-09:00;08.07.2019-10:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;26.08.2019-15:00;27.08.2019-08:00;18;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;27.08.2019-14:00;28.08.2019-17:00;28;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;29.08.2019-13:00;29.08.2019-14:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;30.08.2019-09:00;02.09.2019-07:00;71;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;15.09.2019-09:00;15.09.2019-10:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;24.10.2019-11:00;24.10.2019-13:00;3;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;03.12.2019-15:00;03.12.2019-17:00;3;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;04.12.2019-04:00;04.12.2019-10:00;7;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;04.12.2019-12:00;04.12.2019-17:00;6;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;06.12.2019-10:00;09.12.2019-07:00;70;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;30.12.2019-12:00;30.12.2019-13:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;28.01.2020-11:00;28.01.2020-12:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;31.01.2020-09:00;31.01.2020-09:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;09.03.2020-10:00;09.03.2020-10:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;29.06.2020-11:00;29.06.2020-11:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;20.08.2020-18:00;21.08.2020-05:00;12;;eor;                                                                                                                                  
2928;Leipzig-Holzhausen;V_N;27.08.2020-10:00;27.08.2020-12:00;3;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;13.09.2020-11:00;13.09.2020-11:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;13.09.2020-13:00;13.09.2020-15:00;3;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;13.09.2020-19:00;13.09.2020-19:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;13.09.2020-21:00;13.09.2020-22:00;2;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;14.09.2020-10:00;14.09.2020-18:00;9;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;15.09.2020-00:00;15.09.2020-03:00;4;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;15.09.2020-10:00;15.09.2020-10:00;1;;eor;                                                                                                                                   
2928;Leipzig-Holzhausen;V_N;21.10.2020-17:00;21.10.2020-18:00;2;;eor;                                                                                                                                   
generiert: 09.12.2020 --  Deutscher Wetterdienst  --                                                                                                                                                    
