STATIONS_ID;MESS_DATUM;QN_8;V_N_I; V_N;eor
       2928;2019060800;    3;   I;   8;eor
       2928;2019060801;    3;   I;   8;eor
       2928;2019060802;    3;   I;   8;eor
       2928;2019060803;    3;   I;   8;eor
       2928;2019060804;    3;   I;   7;eor
       2928;2019060805;    3;   I;   8;eor
       2928;2019060806;    3;   I;   8;eor
       2928;2019060807;    3;   I;   8;eor
       2928;2019060808;    3;   I;   7;eor
       2928;2019060809;    3;   I;   8;eor
       2928;2019060810;    3;   I;   8;eor
       2928;2019060811;    3;   I;   8;eor
       2928;2019060812;    3;   I;   0;eor
       2928;2019060813;    3;   I;   2;eor
       2928;2019060814;    3;   I;   2;eor
       2928;2019060815;    3;   I;   0;eor
       2928;2019060816;    3;   I;   2;eor
       2928;2019060817;    3;   I;   1;eor
       2928;2019060818;    3;   I;   0;eor
       2928;2019060819;    3;   I;   0;eor
       2928;2019060820;    3;   I;   0;eor
       2928;2019060821;    3;   I;   0;eor
       2928;2019060822;    3;   I;   2;eor
       2928;2019060823;    3;   I;   0;eor
       2928;2019060900;    3;   I;   4;eor
       2928;2019060901;    3;   I;   8;eor
       2928;2019060902;    3;   I;   8;eor
       2928;2019060903;    3;   I;   8;eor
       2928;2019060904;    3;   I;   8;eor
       2928;2019060905;    3;   I;   7;eor
       2928;2019060906;    3;   I;   8;eor
       2928;2019060907;    3;   I;   7;eor
       2928;2019060908;    3;   I;   5;eor
       2928;2019060909;    3;   I;   8;eor
       2928;2019060910;    3;   I;   3;eor
       2928;2019060911;    3;   I;   3;eor
       2928;2019060912;    3;   I;   4;eor
       2928;2019060913;    3;   I;   7;eor
       2928;2019060914;    3;   I;   8;eor
       2928;2019060915;    3;   I;   8;eor
       2928;2019060916;    3;   I;   8;eor
       2928;2019060917;    3;   I;   8;eor
       2928;2019060918;    3;   I;   8;eor
       2928;2019060919;    3;   I;   7;eor
       2928;2019060920;    3;   I;   8;eor
       2928;2019060921;    3;   I;   7;eor
       2928;2019060922;    3;   I;   7;eor
       2928;2019060923;    3;   I;   8;eor
       2928;2019061000;    3;   I;   8;eor
       2928;2019061001;    3;   I;   8;eor
       2928;2019061002;    3;   I;   7;eor
       2928;2019061003;    3;   I;   8;eor
       2928;2019061004;    3;   I;   8;eor
       2928;2019061005;    3;   I;   8;eor
       2928;2019061006;    3;   I;   8;eor
       2928;2019061007;    3;   I;   8;eor
       2928;2019061008;    3;   I;   8;eor
       2928;2019061009;    3;   I;   8;eor
       2928;2019061010;    3;   I;   8;eor
       2928;2019061011;    3;   I;   8;eor
       2928;2019061012;    3;   I;   8;eor
       2928;2019061013;    3;   I;   8;eor
       2928;2019061014;    3;   I;   8;eor
       2928;2019061015;    3;   I;   7;eor
       2928;2019061016;    3;   I;   6;eor
       2928;2019061017;    3;   I;   5;eor
       2928;2019061018;    3;   I;   8;eor
       2928;2019061019;    3;   I;   8;eor
       2928;2019061020;    3;   I;   8;eor
       2928;2019061021;    3;   I;   8;eor
       2928;2019061022;    3;   I;   8;eor
       2928;2019061023;    3;   I;   8;eor
       2928;2019061100;    3;   I;   8;eor
       2928;2019061101;    3;   I;   8;eor
       2928;2019061102;    3;   I;   8;eor
       2928;2019061103;    3;   I;   0;eor
       2928;2019061104;    3;   I;   3;eor
       2928;2019061105;    3;   I;   3;eor
       2928;2019061106;    3;   I;   7;eor
       2928;2019061107;    3;   I;   7;eor
       2928;2019061108;    3;   I;   6;eor
       2928;2019061109;    3;   I;   8;eor
       2928;2019061110;    3;   I;   2;eor
       2928;2019061111;    3;   I;   4;eor
       2928;2019061112;    3;   I;   7;eor
       2928;2019061113;    3;   I;   3;eor
       2928;2019061114;    3;   I;   0;eor
       2928;2019061115;    3;   I;   0;eor
       2928;2019061116;    3;   I;   6;eor
       2928;2019061117;    3;   I;   3;eor
       2928;2019061118;    3;   I;   7;eor
       2928;2019061119;    3;   I;   7;eor
       2928;2019061120;    3;   I;   8;eor
       2928;2019061121;    3;   I;   7;eor
       2928;2019061122;    3;   I;   8;eor
       2928;2019061123;    3;   I;   6;eor
       2928;2019061200;    3;   I;   8;eor
       2928;2019061201;    3;   I;   7;eor
       2928;2019061202;    3;   I;   8;eor
       2928;2019061203;    3;   I;   8;eor
       2928;2019061204;    3;   I;   8;eor
       2928;2019061205;    3;   I;   8;eor
       2928;2019061206;    3;   I;   7;eor
       2928;2019061207;    3;   I;   7;eor
       2928;2019061208;    3;   I;   2;eor
       2928;2019061209;    3;   I;   0;eor
       2928;2019061210;    3;   I;   1;eor
       2928;2019061211;    3;   I;   0;eor
       2928;2019061212;    3;   I;   1;eor
       2928;2019061213;    3;   I;   0;eor
       2928;2019061214;    3;   I;   8;eor
       2928;2019061215;    3;   I;   8;eor
       2928;2019061216;    3;   I;   8;eor
       2928;2019061217;    3;   I;   8;eor
       2928;2019061218;    3;   I;   7;eor
       2928;2019061219;    3;   I;   8;eor
       2928;2019061220;    3;   I;   8;eor
