STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
       2928;2019060803;   10;  0.00;eor
       2928;2019060804;   10;  0.00;eor
       2928;2019060805;   10;  0.00;eor
       2928;2019060806;   10;  1.00;eor
       2928;2019060807;   10;  0.00;eor
       2928;2019060808;   10; 11.00;eor
       2928;2019060809;   10; 12.00;eor
       2928;2019060810;   10;  8.00;eor
       2928;2019060811;   10; 36.00;eor
       2928;2019060812;   10; 60.00;eor
       2928;2019060813;   10; 56.00;eor
       2928;2019060814;   10; 59.00;eor
       2928;2019060815;   10; 55.00;eor
       2928;2019060816;   10; 46.00;eor
       2928;2019060817;   10; 52.00;eor
       2928;2019060818;   10; 34.00;eor
       2928;2019060819;   10;  6.00;eor
       2928;2019060820;   10;  0.00;eor
       2928;2019060903;   10;  0.00;eor
       2928;2019060904;   10;  0.00;eor
       2928;2019060905;   10;  9.00;eor
       2928;2019060906;   10; 60.00;eor
       2928;2019060907;   10; 60.00;eor
       2928;2019060908;   10; 60.00;eor
       2928;2019060909;   10; 60.00;eor
       2928;2019060910;   10; 60.00;eor
       2928;2019060911;   10; 60.00;eor
       2928;2019060912;   10; 59.00;eor
       2928;2019060913;   10; 56.00;eor
       2928;2019060914;   10; 37.00;eor
       2928;2019060915;   10; 43.00;eor
       2928;2019060916;   10; 22.00;eor
       2928;2019060917;   10;  0.00;eor
       2928;2019060918;   10;  0.00;eor
       2928;2019060919;   10;  0.00;eor
       2928;2019060920;   10;  0.00;eor
       2928;2019061003;   10;  0.00;eor
       2928;2019061004;   10;  0.00;eor
       2928;2019061005;   10;  0.00;eor
       2928;2019061006;   10; 11.00;eor
       2928;2019061007;   10; 18.00;eor
       2928;2019061008;   10;  0.00;eor
       2928;2019061009;   10;  6.00;eor
       2928;2019061010;   10; 30.00;eor
       2928;2019061011;   10; 19.00;eor
       2928;2019061012;   10; 15.00;eor
       2928;2019061013;   10; 41.00;eor
       2928;2019061014;   10; 55.00;eor
       2928;2019061015;   10; 53.00;eor
       2928;2019061016;   10; 46.00;eor
       2928;2019061017;   10; 36.00;eor
       2928;2019061018;   10;  0.00;eor
       2928;2019061019;   10;  0.00;eor
       2928;2019061020;   10;  0.00;eor
       2928;2019061103;   10;  0.00;eor
       2928;2019061104;   10;  0.00;eor
       2928;2019061105;   10;  0.00;eor
       2928;2019061106;   10; 44.00;eor
       2928;2019061107;   10; 21.00;eor
       2928;2019061108;   10; 19.00;eor
       2928;2019061109;   10; 59.00;eor
       2928;2019061110;   10; 58.00;eor
       2928;2019061111;   10; 60.00;eor
       2928;2019061112;   10; 23.00;eor
       2928;2019061113;   10; 43.00;eor
       2928;2019061114;   10; 60.00;eor
       2928;2019061115;   10; 60.00;eor
       2928;2019061116;   10; 50.00;eor
       2928;2019061117;   10; 55.00;eor
       2928;2019061118;   10; 39.00;eor
       2928;2019061119;   10;  0.00;eor
       2928;2019061120;   10;  0.00;eor
       2928;2019061203;   10;  0.00;eor
       2928;2019061204;   10;  0.00;eor
       2928;2019061205;   10;  0.00;eor
       2928;2019061206;   10; 14.00;eor
       2928;2019061207;   10; 13.00;eor
       2928;2019061208;   10; 45.00;eor
       2928;2019061209;   10; 60.00;eor
       2928;2019061210;   10; 59.00;eor
       2928;2019061211;   10; 60.00;eor
       2928;2019061212;   10; 60.00;eor
       2928;2019061213;   10; 60.00;eor
       2928;2019061214;   10;  6.00;eor
       2928;2019061215;   10;  0.00;eor
       2928;2019061216;   10;  2.00;eor
       2928;2019061217;   10;  3.00;eor
       2928;2019061218;   10;  7.00;eor
       2928;2019061219;   10;  0.00;eor
       2928;2019061220;   10;  0.00;eor
       2928;2019061303;   10;  0.00;eor
       2928;2019061304;   10;  0.00;eor
       2928;2019061305;   10;  0.00;eor
       2928;2019061306;   10;  8.00;eor
       2928;2019061307;   10; 45.00;eor
       2928;2019061308;   10; 50.00;eor
       2928;2019061309;   10; 59.00;eor
       2928;2019061310;   10; 60.00;eor
       2928;2019061311;   10; 60.00;eor
       2928;2019061312;   10; 56.00;eor
       2928;2019061313;   10; 29.00;eor
       2928;2019061314;   10; 41.00;eor
       2928;2019061315;   10; 22.00;eor
       2928;2019061316;   10; 60.00;eor
       2928;2019061317;   10; 60.00;eor
       2928;2019061318;   10; 43.00;eor
       2928;2019061319;   10; 12.00;eor
       2928;2019061320;   10;  0.00;eor
       2928;2019061403;   10;  0.00;eor
       2928;2019061404;   10;  0.00;eor
       2928;2019061405;   10;  6.00;eor
       2928;2019061406;   10; 60.00;eor
       2928;2019061407;   10; 60.00;eor
       2928;2019061408;   10; 60.00;eor
       2928;2019061409;   10; 60.00;eor
       2928;2019061410;   10; 60.00;eor
       2928;2019061411;   10; 60.00;eor
       2928;2019061412;   10; 60.00;eor
       2928;2019061413;   10; 16.00;eor
       2928;2019061414;   10; 48.00;eor
       2928;2019061415;   10; 43.00;eor
       2928;2019061416;   10; 35.00;eor
       2928;2019061417;   10; 18.00;eor
       2928;2019061418;   10;  0.00;eor
       2928;2019061419;   10;  0.00;eor
       2928;2019061420;   10;  0.00;eor
       2928;2019061503;   10;  0.00;eor
       2928;2019061504;   10;  0.00;eor
       2928;2019061505;   10;  0.00;eor
       2928;2019061506;   10;  1.00;eor
       2928;2019061507;   10; 18.00;eor
       2928;2019061508;   10; 58.00;eor
       2928;2019061509;   10; 60.00;eor
       2928;2019061510;   10; 60.00;eor
       2928;2019061511;   10; 49.00;eor
       2928;2019061512;   10; 56.00;eor
       2928;2019061513;   10; 44.00;eor
       2928;2019061514;   10; 52.00;eor
       2928;2019061515;   10; 60.00;eor
       2928;2019061516;   10; 60.00;eor
       2928;2019061517;   10; 60.00;eor
       2928;2019061518;   10; 43.00;eor
       2928;2019061519;   10;  9.00;eor
       2928;2019061520;   10;  0.00;eor
       2928;2019061707;   10; 60.00;eor
       2928;2019061708;   10; 57.00;eor
       2928;2019061709;   10; 59.00;eor
       2928;2019061710;   10; 60.00;eor
       2928;2019061711;   10; 60.00;eor
       2928;2019061712;   10; 60.00;eor
       2928;2019061713;   10; 51.00;eor
       2928;2019061714;   10; 60.00;eor
       2928;2019061715;   10; 60.00;eor
       2928;2019061716;   10; 60.00;eor
       2928;2019061717;   10; 60.00;eor
       2928;2019061718;   10; 44.00;eor
       2928;2019061719;   10; 19.00;eor
       2928;2019061720;   10;  3.00;eor
       2928;2019061803;   10;  0.00;eor
       2928;2019061804;   10;  0.00;eor
       2928;2019061805;   10;  3.00;eor
       2928;2019061806;   10; 59.00;eor
       2928;2019061807;   10; 60.00;eor
       2928;2019061808;   10; 60.00;eor
       2928;2019061809;   10; 60.00;eor
       2928;2019061810;   10; 46.00;eor
       2928;2019061811;   10; 49.00;eor
       2928;2019061812;   10; 54.00;eor
       2928;2019061813;   10; 51.00;eor
       2928;2019061814;   10; 58.00;eor
       2928;2019061815;   10;  7.00;eor
       2928;2019061816;   10; 55.00;eor
       2928;2019061817;   10; 60.00;eor
       2928;2019061818;   10; 42.00;eor
       2928;2019061819;   10;  0.00;eor
       2928;2019061820;   10;  0.00;eor
       2928;2019061903;   10;  0.00;eor
       2928;2019061904;   10;  0.00;eor
       2928;2019061905;   10;  0.00;eor
       2928;2019061906;   10; 32.00;eor
       2928;2019061907;   10; 42.00;eor
       2928;2019061908;   10; 59.00;eor
