STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       2928;2019060800;   10;   4.0; 260;eor
       2928;2019060801;   10;   4.1; 250;eor
       2928;2019060802;   10;   3.4; 250;eor
       2928;2019060803;   10;   2.9; 240;eor
       2928;2019060804;   10;   1.9; 220;eor
       2928;2019060805;   10;   3.6; 230;eor
       2928;2019060806;   10;   3.5; 220;eor
       2928;2019060807;   10;   3.6; 210;eor
       2928;2019060808;   10;   4.1; 210;eor
       2928;2019060809;   10;   5.5; 220;eor
       2928;2019060810;   10;   4.7; 220;eor
       2928;2019060811;   10;   6.3; 230;eor
       2928;2019060812;   10;   6.8; 230;eor
       2928;2019060813;   10;   5.9; 230;eor
       2928;2019060814;   10;   5.4; 250;eor
       2928;2019060815;   10;   4.9; 240;eor
       2928;2019060816;   10;   4.1; 240;eor
       2928;2019060817;   10;   3.9; 250;eor
       2928;2019060818;   10;   3.3; 240;eor
       2928;2019060819;   10;   2.7; 260;eor
       2928;2019060820;   10;   1.6; 270;eor
       2928;2019060821;   10;   0.9; 260;eor
       2928;2019060822;   10;   1.4; 170;eor
       2928;2019060823;   10;   0.9; 170;eor
       2928;2019060900;   10;   1.3; 160;eor
       2928;2019060901;   10;   2.1; 180;eor
       2928;2019060902;   10;   2.1; 180;eor
       2928;2019060903;   10;   1.5; 160;eor
       2928;2019060904;   10;   1.1; 160;eor
       2928;2019060905;   10;   1.0; 180;eor
       2928;2019060906;   10;   1.3; 190;eor
       2928;2019060907;   10;   1.1; 240;eor
       2928;2019060908;   10;   1.2; 310;eor
       2928;2019060909;   10;   1.2;  20;eor
       2928;2019060910;   10;   1.8; 100;eor
       2928;2019060911;   10;   2.2; 140;eor
       2928;2019060912;   10;   1.9; 100;eor
       2928;2019060913;   10;   1.8;  80;eor
       2928;2019060914;   10;   2.4;  90;eor
       2928;2019060915;   10;   2.4;  90;eor
       2928;2019060916;   10;   2.4;  70;eor
       2928;2019060917;   10;   1.7;  70;eor
       2928;2019060918;   10;   1.5;  60;eor
       2928;2019060919;   10;   1.2;  70;eor
       2928;2019060920;   10;   1.1;  70;eor
       2928;2019060921;   10;   1.1;  90;eor
       2928;2019060922;   10;   1.3; 100;eor
       2928;2019060923;   10;   1.3;  60;eor
       2928;2019061000;   10;   1.2;  50;eor
       2928;2019061001;   10;   1.0;  70;eor
       2928;2019061002;   10;   1.1;  80;eor
       2928;2019061003;   10;   1.3; 110;eor
       2928;2019061004;   10;   0.9;  30;eor
       2928;2019061005;   10;   0.6; 200;eor
       2928;2019061006;   10;   0.8; 200;eor
       2928;2019061007;   10;   1.3; 210;eor
       2928;2019061008;   10;   1.1; 200;eor
       2928;2019061009;   10;   0.9; 230;eor
       2928;2019061010;   10;   1.2; 220;eor
       2928;2019061011;   10;   1.3; 180;eor
       2928;2019061012;   10;   1.4; 150;eor
       2928;2019061013;   10;   1.4; 120;eor
       2928;2019061014;   10;   1.5; 180;eor
       2928;2019061015;   10;   1.7; 150;eor
       2928;2019061016;   10;   2.3; 160;eor
       2928;2019061017;   10;   1.4; 110;eor
       2928;2019061018;   10;   0.7; 100;eor
       2928;2019061019;   10;   0.9; 300;eor
       2928;2019061020;   10;   2.7; 260;eor
       2928;2019061021;   10;   1.4;  20;eor
       2928;2019061022;   10;   1.6; 180;eor
       2928;2019061023;   10;   1.5; 180;eor
       2928;2019061100;   10;   0.9; 120;eor
       2928;2019061101;   10;   1.0; 240;eor
       2928;2019061102;   10;   0.9; 280;eor
       2928;2019061103;   10;   1.5; 160;eor
       2928;2019061104;   10;   1.2; 160;eor
       2928;2019061105;   10;   1.9; 230;eor
       2928;2019061106;   10;   1.7; 250;eor
       2928;2019061107;   10;   2.7; 240;eor
       2928;2019061108;   10;   2.5; 250;eor
       2928;2019061109;   10;   2.3; 260;eor
       2928;2019061110;   10;   1.9; 220;eor
       2928;2019061111;   10;   2.1; 170;eor
       2928;2019061112;   10;   2.1; 160;eor
       2928;2019061113;   10;   1.6; 240;eor
       2928;2019061114;   10;   1.4; 340;eor
       2928;2019061115;   10;   1.9;  10;eor
       2928;2019061116;   10;   2.3; 360;eor
       2928;2019061117;   10;   2.8;  10;eor
       2928;2019061118;   10;   2.8;  10;eor
       2928;2019061119;   10;   1.9; 360;eor
       2928;2019061120;   10;   3.2; 340;eor
       2928;2019061121;   10;   3.4; 350;eor
       2928;2019061122;   10;   3.1;  40;eor
       2928;2019061123;   10;   2.4; 290;eor
       2928;2019061200;   10;   2.8; 330;eor
       2928;2019061201;   10;   3.1; 340;eor
       2928;2019061202;   10;   2.6; 340;eor
       2928;2019061203;   10;   1.8; 360;eor
       2928;2019061204;   10;   1.0;  80;eor
       2928;2019061205;   10;   0.8; 120;eor
       2928;2019061206;   10;   1.0;  40;eor
       2928;2019061207;   10;   0.9;  70;eor
       2928;2019061208;   10;   1.1; 330;eor
       2928;2019061209;   10;   1.5;  50;eor
       2928;2019061210;   10;   1.8;  60;eor
       2928;2019061211;   10;   2.0;  70;eor
       2928;2019061212;   10;   2.1;  50;eor
       2928;2019061213;   10;   1.6;  40;eor
       2928;2019061214;   10;   1.8; 280;eor
       2928;2019061215;   10;   5.1; 250;eor
       2928;2019061216;   10;   5.1; 280;eor
       2928;2019061217;   10;   3.0; 300;eor
       2928;2019061218;   10;   2.6; 270;eor
       2928;2019061219;   10;   2.9; 250;eor
       2928;2019061220;   10;   2.9; 240;eor
       2928;2019061221;   10;   3.4; 250;eor
       2928;2019061222;   10;   2.3; 260;eor
       2928;2019061223;   10;   2.6; 240;eor
       2928;2019061300;   10;   1.5; 250;eor
       2928;2019061301;   10;   1.7; 240;eor
       2928;2019061302;   10;   1.7; 250;eor
       2928;2019061303;   10;   0.8; 250;eor
       2928;2019061304;   10;   0.9; 150;eor
       2928;2019061305;   10;   1.4; 170;eor
       2928;2019061306;   10;   1.4; 160;eor
       2928;2019061307;   10;   1.8; 200;eor
       2928;2019061308;   10;   1.4; 180;eor
       2928;2019061309;   10;   1.2; 190;eor
       2928;2019061310;   10;   1.6; 140;eor
       2928;2019061311;   10;   1.8; 140;eor
       2928;2019061312;   10;   1.6; 160;eor
       2928;2019061313;   10;   1.7; 180;eor
       2928;2019061314;   10;   2.2; 140;eor
       2928;2019061315;   10;   2.2; 130;eor
       2928;2019061316;   10;   2.6; 150;eor
       2928;2019061317;   10;   1.9; 120;eor
       2928;2019061318;   10;   2.1; 140;eor
       2928;2019061319;   10;   1.1; 110;eor
       2928;2019061320;   10;   0.7; 110;eor
       2928;2019061321;   10;   1.0; 130;eor
       2928;2019061322;   10;   1.1; 250;eor
       2928;2019061323;   10;   0.6; 320;eor
       2928;2019061400;   10;   0.4; 360;eor
       2928;2019061401;   10;   0.6; 190;eor
       2928;2019061402;   10;   0.8; 160;eor
       2928;2019061403;   10;   0.9; 150;eor
       2928;2019061404;   10;   1.2; 170;eor
       2928;2019061405;   10;   1.7; 170;eor
       2928;2019061406;   10;   1.1; 160;eor
       2928;2019061407;   10;   1.8; 120;eor
       2928;2019061408;   10;   2.4; 130;eor
       2928;2019061409;   10;   2.3; 130;eor
       2928;2019061410;   10;   2.6; 120;eor
       2928;2019061411;   10;   2.7; 120;eor
       2928;2019061412;   10;   3.3; 130;eor
       2928;2019061413;   10;   2.2; 120;eor
       2928;2019061414;   10;   2.4; 100;eor
       2928;2019061415;   10;   2.2; 100;eor
       2928;2019061416;   10;   2.1;  80;eor
       2928;2019061417;   10;   1.9;  90;eor
       2928;2019061418;   10;   1.5;  80;eor
       2928;2019061419;   10;   1.2;  50;eor
       2928;2019061420;   10;   1.0;  80;eor
       2928;2019061421;   10;   1.2;  90;eor
       2928;2019061422;   10;   1.3;  80;eor
       2928;2019061423;   10;   1.4;  80;eor
       2928;2019061500;   10;   1.2;  60;eor
       2928;2019061501;   10;   1.8;  70;eor
       2928;2019061502;   10;   2.5; 110;eor
       2928;2019061503;   10;   2.7; 110;eor
       2928;2019061504;   10;   2.2;  90;eor
       2928;2019061505;   10;   2.0; 100;eor
       2928;2019061506;   10;   2.0; 100;eor
       2928;2019061507;   10;   2.2; 110;eor
       2928;2019061508;   10;   2.2; 150;eor
       2928;2019061509;   10;   2.6; 180;eor
       2928;2019061510;   10;   4.0; 230;eor
       2928;2019061511;   10;   4.3; 250;eor
       2928;2019061512;   10;   4.3; 260;eor
       2928;2019061513;   10;   4.7; 260;eor
       2928;2019061514;   10;   5.4; 260;eor
       2928;2019061515;   10;   5.4; 260;eor
       2928;2019061516;   10;   4.6; 260;eor
       2928;2019061517;   10;   4.3; 260;eor
       2928;2019061518;   10;   3.8; 260;eor
       2928;2019061519;   10;   3.4; 270;eor
       2928;2019061520;   10;   3.4; 310;eor
       2928;2019061521;   10;   3.5; 330;eor
       2928;2019061708;   10;   1.3; 100;eor
       2928;2019061709;   10;   1.5;  90;eor
       2928;2019061710;   10;   1.7;  40;eor
       2928;2019061711;   10;   1.7; 120;eor
       2928;2019061712;   10;   1.9;  90;eor
       2928;2019061713;   10;   1.9;  90;eor
       2928;2019061714;   10;   2.3; 140;eor
       2928;2019061715;   10;   2.1; 110;eor
       2928;2019061716;   10;   2.5; 120;eor
       2928;2019061717;   10;   2.0; 110;eor
       2928;2019061718;   10;   1.8; 110;eor
       2928;2019061719;   10;   1.2; 110;eor
       2928;2019061720;   10;   0.8;  90;eor
       2928;2019061721;   10;   0.8;  80;eor
       2928;2019061722;   10;   0.8;  90;eor
       2928;2019061723;   10;   1.0; 130;eor
       2928;2019061800;   10;   1.0; 130;eor
       2928;2019061801;   10;   1.0; 130;eor
       2928;2019061802;   10;   1.0; 120;eor
       2928;2019061803;   10;   1.0; 130;eor
       2928;2019061804;   10;   1.1; 120;eor
       2928;2019061805;   10;   1.1; 120;eor
       2928;2019061806;   10;   1.5; 110;eor
       2928;2019061807;   10;   1.9; 120;eor
       2928;2019061808;   10;   2.1; 120;eor
       2928;2019061809;   10;   2.0; 130;eor
       2928;2019061810;   10;   2.2; 110;eor
       2928;2019061811;   10;   2.5; 130;eor
       2928;2019061812;   10;   2.4; 120;eor
       2928;2019061813;   10;   2.6; 120;eor
       2928;2019061814;   10;   2.4; 120;eor
       2928;2019061815;   10;   2.1; 120;eor
       2928;2019061816;   10;   2.3; 130;eor
       2928;2019061817;   10;   1.9; 100;eor
       2928;2019061818;   10;   1.7;  90;eor
       2928;2019061819;   10;   1.0; 110;eor
       2928;2019061820;   10;   1.0; 100;eor
       2928;2019061821;   10;   1.0; 110;eor
       2928;2019061822;   10;   0.8; 120;eor
       2928;2019061823;   10;   1.0; 120;eor
       2928;2019061900;   10;   1.0; 150;eor
       2928;2019061901;   10;   0.5; 140;eor
       2928;2019061902;   10;   0.8; 110;eor
       2928;2019061903;   10;   0.9; 120;eor
       2928;2019061904;   10;   0.5; 140;eor
       2928;2019061905;   10;   0.8; 140;eor
       2928;2019061906;   10;   1.0; 150;eor
